Datum;Jaar;Mnd;Dag;Ticvanri;Ticvan;Richt;Hm;Oorz;Begt;StUur;StMin;Eindt;EindUur;EindMin;Zwaarte;GemLeng;Duur;Dagnr;Weeknr;Dagsoort;G_L;Provinci;Routelet;Routenum;Routeoms;Naam_Van;Naam_Naa;Hm_Van;Hm_Naar;Traj_Van;Traj_Naa;Flricht;FilesAgvWerk;IdWerk

20180101;2018;1;1;76122;7612;2;41,1;0D8;1342;13;42;1358;13;58;37,45;2274,29;16,46;1;1;7;2,27;8;A;16;A16;Klaverpolder;'s-Gravendeel;43,1;41,1;Breda;Rotterdam;Rotterdam; ;

20180101;2018;1;1;80021;8002;1;42,6;0D8;1615;16;15;1632;16;32;45,4;2619,23;17,33;1;1;7;2,61;6;A;2;A2;Abcoude;Vinkeveen;40,6;42,6;Utrecht;Amsterdam;Utrecht; ; 

20180101;2018;1;1;83301;8330;1;52,4;313;1500;15;0;1523;15;23;59,21;2509,18;23,6;1;1;7;2,5;8;A;27;A27;Everdingen;Lexmond;54,4;52,4;Gorinchem;Utrecht;Gorinchem; ; 

20180102;2018;1;2;70222;7022;2;23,4;9CE;1723;17;23;1802;18;2;155,55;3913,2;39,75;2;1;1;3,91;7;A;1;A1;Naarden-Vesting;Blaricum;20,4;23,4;Amsterdam;Amersfoort;Amersfoort; ; 

20180102;2018;1;2;70291;7029;1;31,1;0B4;1325;13;25;1340;13;40;30,5;2000;15,25;2;1;1;2;6;A;1;A1;Eembrugge;Soest;33,1;31,1;Amsterdam;Amersfoort;Amsterdam; ; 

20180102;2018;1;2;70301;7030;1;35,3;317;1337;13;37;1352;13;52;41,6;2761,06;15,06;2;1;1;2,76;6;A;1;A1;Bunschoten;Eembrugge;37,3;35,3;Amsterdam;Amersfoort;Amsterdam; ; 

20180102;2018;1;2;70301;7030;1;36,1;0B4;1300;13;0;1329;13;29;91,81;3072,5;29,88;2;1;1;3,07;6;A;1;A1;Bunschoten;Eembrugge;38,1;36,1;Amsterdam;Amersfoort;Amsterdam; ; 

20180102;2018;1;2;70492;7049;2;49,1;0B3;2132;21;32;2221;22;21;99,23;2000;49,61;2;1;1;2;5;A;1;A1;Hoevelaken;Barneveld;47,1;49,1;Amsterdam;Apeldoorn;Apeldoorn; ; 

20180102;2018;1;2;72092;7209;2;25,7;0B4;1738;17;38;1753;17;53;30,56;2000;15,28;2;1;1;2;7;A;10;A10;Osdorp;Amsterdam-Sloterdijk;23,7;25,7;De Nieuwe Meer;Coenplein;Coenplein; ; 

